"study","ecosystem","top_bottom_both","phyto_func_response","func_group_type","zoo","fish","microbes","location","study_type","experimental_design","manipulation","coordinates","spatial extent_km","temporal duration","trophic state","importance_td_vs_bu","zoop_func_response","notes","include","reviewer","year"
"Hood et al 2006","marine",3,1,"taxonomic",1,0,0,"NA","model","in silico","NA","NA","6 experiments","10 days","NA",NA,1,NA,"y","Heather",2006
"Hood et al 2006","marine",3,0,"taxonomic",1,0,0,"na","model","in silico","turbulence; nutrient concentration; DIN/DON ratio","na","na","10 days","na",NA,1,"phyto are not the focus of study, but are included in model. studying Pfiesteria population dynamics, 2 Pfiesteria functional types: toxic (heterotrophic) & non-inducible (mixotrophic). model has 2 phyto groups: diatom & cryptophyte","maybe; include","Megan",2006
"Jin et al 2023","freshwater",3,1,"taxonomic",1,0,1,"Lake Markermeer, Netherlands","field","in situ","NA","NA","Various sample sites","May-December 2018","NA",NA,0,"NA","y","Britt",2023
"Jin et al 2023","freshwater",2,1,"taxonomic",1,0,0,"Lake Markermeer, Netherlands","field","in situ","NA","52°32'43""N 5°14'33""E","12 sampling locations in Marker Walden archipelago/shoreline","May 17 - Dec. 6, 2018","eutrophic in decline","bu",1,NA,"Yes","Emmy",2023
"Kim et al 2023","estuary",2,1,"taxonomic",0,0,0,"Yellow Sea, Korea","field","in situ","NA",NA,NA,"4 months",NA,NA,0,NA,"y","Ewaldo",2023
"Kim et al 2023","estuary",2,1,"taxonomic",0,0,0,"Yellow Sea, Koreaa","field, lab","in situ","NA","NA","NA","4 months","eutrophic",NA,0,NA,"y","Heather",2023
"Kong et al 2020","freshwater",2,0,NA,NA,NA,NA,"Jialu River, China","field","none","Restoration","34°48'46.01''N, 113°49'32.37''E","31.95 km",NA,NA,NA,NA,"EXCLUDE - No functional grouping for phytoplankton","no","Anika",2020
"Kong et al 2020","freshwater",3,1,"taxonomic",1,0,0,"Jailu River, China","field","in situ","NA","34° 48'46.01""N, 113° 49'32.37""E","31.95 km","1 year (2016)","eutrophic","bu",1,"Taxonomy of phyto and zooplankton, species richenss of these communities and abundance. Not a lot of direct assessment of top/bottom effects","y","Britt",2020
"Le Noac'h et al 2021","freshwater",3,1,"taxonomic",1,0,0,"Croche Lake Canada","field","in situ","temperature","45.590 3500 N, 74.000 2800 W)",NA,"3 years","meso-oligotrophic","td",1,"In fact the manipulation is of the thermocline","y","Ewaldo",2021
"Le Noac'h et al 2021","freshwater",2,1,"taxonomic",1,0,0,"Croche Lake, St-Hippolyte, QC, Canada","field","in situ, experiment","temperature","45.590 3500 N, 74.000 2800 W","1 lake (multiple internal basins)","between 2007 - 2012","meso-oligotrophic","bu",1,"interesting whole lake thermocline experiment on phyto","Yes","Emmy",2021
"Lemmens et al 2018","freshwater",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EXCLUDE: They do have phytoplankton composition based on taxonomy but they do not consider this as functional groups; the term ""functional composition"" is only used referring to their fish community.","no","Anika",2018
"Lemmens et al 2018","freshwater",3,1,"taxonomic",1,1,0,"northeastern Belgium","field","experiment","predators","50°59'00.92""N; 5°19'55.85""W","24 ponds","2 years","meso-eutrophic",NA,1,NA,"y","Heather",2018
"Lemmens et al 2018","freshwater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fish focused don't hone into specific phytoplankton","n","Britt",2018
"Lepere et al 2006","freshwater",3,1,"morphological, physiological",1,0,1,"Lake Pavin, France","field","none","none",NA,"NA","monthly from March to November 2001 and from September to November 2002 and every 2 weeks from April to August 200","oligomesotrophic",NA,0,"Phytoplankton = autotroph vs. heterotroph; small vs. large; but it is not named a functional differentiation or grouping","yes","Anika",2006
"Lepere et al 2006","freshwater",3,1,"taxonomic, morphological, physiological",1,0,0,"Lake Pavin, France","field","in situ, in silico","NA","NA","NA","March-November 2001, September-November 2002, April-August 2002.","oligomesotrophic","bu",1,"Confused by some of their classifications but does functionally characterize phytoplankton by size, physiology and taxonomy","y","Britt",2006
"Li et al 2020","freshwater",3,1,"taxonomic",1,1,0,"Nansi Lake and Dopi Lake, China","field","none","none","Nansi Lake = 116˚ 34’ E– 117˚ 21’ E, 34˚ 27’ N– 35˚ 20’ N; Dopi Lake = 116˚ 00’ E– 116˚ 30’ E,
35˚ 30’ N– 36˚ 20’ N","2 lakes, (Nansi Lake with n=10, Dopi Lake with n=8 stations)","April/May, July/August 2015","not mentioned","bu",1,NA,"yes","Anika",2020
"Li et al 2020","freshwater",3,1,"taxonomic",1,0,0,"Nansi Lake and Dogping Lake","field","in situ","NA","(116° 34’ E– 117° 21’ E, 34° 27’ N– 35° 20’ N) and (116° 00’ E– 116° 30’ E, 35° 30’ N– 36° 20’ N)","Various sample sites","spring and summer of 2015","NA","bu",1,"Size fractionation and microscopic identification of plankton","y","Britt",2020
